offer_1_valid,offer_type_1,offer_amt_1,zip,st,city,address2,address1,last,first,recgrp,offer_id,winet_id,
yes,coupon,unknown,74072-1537,Montana,Lake Corystad,Suite 300,1876 Kertzmann Walks,Jacobs,Drew,1,1,1
yes,coupon,unknown,41236-8595,North Dakota,West Warren,Apt. 863,2417 Roselyn Harbor,Kihn,Birgit,2,3,4
yes,coupon,unknown,92424-9697,Kansas,New Sook,Suite 253,211 Wilderman Isle,Franecki,Thu,3,5,7
yes,coupon,unknown,29760-1914,Florida,South Rusty,Apt. 517,51989 Leeanna Loaf,Berge,Halina,4,7,10
yes,coupon,unknown,49238-4226,California,Rutherfordfort,Apt. 395,20703 Tristan Manor,Gutmann,Jewell,5,9,13
yes,coupon,unknown,71835,Rhode Island,West Jody,Apt. 779,22155 Keena Branch,D'Amore,Carroll,6,11,16
yes,coupon,unknown,75809-3568,Missouri,Frankietown,Suite 313,1164 White Summit,Lockman,Vito,7,13,19
yes,coupon,unknown,64895-9189,New Mexico,Hoppeview,Apt. 106,97718 Lyla Squares,Lesch,Eveline,8,15,22
yes,coupon,unknown,96831,Idaho,West Christenaview,Apt. 368,8520 Pollich Fork,Boehm,Wanetta,9,17,25
yes,coupon,unknown,25686-9809,Oklahoma,Donnellyburgh,Suite 113,88798 Goldner Landing,Quitzon,Rhiannon,10,19,28
yes,coupon,unknown,00955-6955,Louisiana,Florineton,Suite 776,89690 Lorraine Glens,Harris,Jena,11,21,31
yes,coupon,unknown,07920-7035,Texas,North Janee,Suite 314,43492 Gusikowski Ports,Bins,Eboni,12,23,34
yes,coupon,unknown,62211-4694,Ohio,Simonchester,Suite 695,82027 Moore Lights,Kuhlman,Sharell,13,25,37
yes,coupon,unknown,06565-8915,Missouri,Gutmannburgh,Suite 664,29173 Nader Mall,Towne,Michal,14,27,40
yes,coupon,unknown,90625,New Jersey,Port Hiltonburgh,Suite 743,46046 Nigel Tunnel,Funk,Michael,15,29,43
yes,coupon,unknown,32716-0831,California,Lake Kirby,Suite 872,752 Denisha Port,Konopelski,Pura,16,31,46
yes,coupon,unknown,52548-0141,Arkansas,Chimouth,Apt. 211,8733 Wehner Garden,Fisher,Sal,17,33,49
